charging_capacity_kW,usage_stats,cost_per_kWh,battery_capacity,state_of_charge,charger_type,renewable_energy,maintenance_frequency,latitude,longitude,priority_score
48.822851228214645,13.443512940812186,8.02388713189913,85.75519893700287,2.852002483864824,DC Fast,Yes,Monthly,19.62264078035172,76.6422068745957,52.62
102.25062698732636,29.93955883716812,9.835920400379482,92.84532766554204,90.93041464060494,Level 1,Yes,Quarterly,13.005771080540221,75.70885505809126,5.09
128.2266451527921,35.87155254170135,9.017358202015412,114.719970383061,0.8223131388891525,DC Fast,Yes,Quarterly,18.61447921404348,78.19913635140301,71.43
159.62449447596256,80.4437207679505,9.755578210018925,66.12994404598557,73.60821443370854,DC Fast,Yes,Weekly,19.336575454082716,79.73508587741064,15.22
274.81158648755473,27.875987241455302,8.34655790645258,99.64896480769893,15.214788691951654,DC Fast,No,Monthly,17.47086209394825,84.97897852754217,55.12
69.8858237554259,21.070496386720315,7.406164961775989,96.09880496282432,91.22296219996,Level 2,No,Weekly,12.313283123069583,79.30993342068169,4.97
179.98205344476406,95.74480190380962,6.684893402276527,91.19009308498713,89.27959395898858,DC Fast,Yes,Quarterly,13.34000718826594,82.26242588507371,7.54
207.34509910171485,0.88632851134689,9.041296980193476,103.26282810848758,65.39011463692573,Level 1,No,Monthly,10.358092944177308,81.93397026272535,19.88
16.257644451999205,99.78208556819781,6.92456049301937,53.72839223884992,67.22341498006051,Level 2,Yes,Monthly,18.314532342453553,77.04481950250579,15.78
212.64069816550344,67.68212988573956,7.559712948951885,31.004337966001767,0.5339141969688543,Level 1,Yes,Quarterly,18.496111865110798,75.58507151449436,34.04
59.683443290552034,82.84692994491171,8.36364817759364,35.50531736516665,98.4871566113602,DC Fast,No,Quarterly,16.327103099661926,80.46006751533588,0.54
22.76805754484783,29.461939634619316,8.475458057229117,49.195709745007136,87.78326035758144,DC Fast,Yes,Quarterly,13.525278512638513,82.00305592314476,4.55
332.10993803866666,1.4315277667059978,8.602041189454976,85.02573161796208,89.5106225730092,Level 1,No,Quarterly,10.768110276399206,84.98251790186256,5.31
337.97121157609575,73.78695185615301,7.0818936562239525,129.2575575709826,65.92445370508719,Level 2,Yes,Monthly,17.530576099149094,78.58611052281171,30.02
282.9390718407614,83.41445970006758,7.829080916875771,111.16813447148994,34.47869286545365,Level 1,Yes,Weekly,17.26526193609923,83.96364562081096,51.44
106.61481921067974,74.04761319535191,8.660179794909384,122.57527854626613,89.36486490904808,DC Fast,Yes,Monthly,19.12602521738901,78.81932455869186,8.68
34.18523990223436,14.285028730083859,9.894366026218247,65.62683111039189,29.151692815119233,Level 2,Yes,Monthly,17.305320210053623,81.89411708430512,29.96
239.48155927925492,75.34279222569691,9.04670898194891,72.60498641431153,56.271154334220284,DC Fast,No,Monthly,18.286949422440017,80.98252930517052,25.31
154.05337280886044,76.8922782107641,9.729113149828851,71.17864517877968,9.97309723438824,DC Fast,Yes,Monthly,17.459546179039997,75.52978793302597,52.62
42.71338219567259,65.85405156700548,9.16774220409962,44.943513972585194,92.19556301327502,Level 1,No,Quarterly,16.306871883123165,75.78388426970258,2.64
173.31191853894455,76.61159327955862,8.5710093911234,27.958165558664362,14.077045777121333,DC Fast,No,Weekly,14.269663941910093,75.20764089724462,31.02
12.035982390326438,84.59214396777321,7.172081791977206,96.81909206753949,22.489680573040726,Level 1,Yes,Monthly,19.021173086422777,78.7083408459399,50.06
318.2621407275737,61.360411423745845,8.833399781623797,148.5981688446762,55.813415812821496,Level 2,No,Monthly,16.509685719074696,82.4580104876601,40.74
90.57299356000593,8.860471396967906,8.681828480859675,41.68786164353417,76.40930002129815,DC Fast,Yes,Weekly,13.98355321965909,76.72755393990722,8.1
231.88279952389368,48.76278096672109,8.608642096600432,26.069026586905586,61.93513059362989,DC Fast,No,Quarterly,10.834692951819573,81.05852968383896,11.66
109.09887663129383,7.764933467160507,8.214250537958844,121.33911863711128,23.213391280015617,Level 2,No,Monthly,12.90704855904382,77.88827780031077,51.31
182.0238074122338,40.75430310324308,8.350298113962465,52.83618086901414,0.09430425274903342,Level 1,Yes,Quarterly,15.437267348301647,82.96992623979072,40.19
191.34859777014788,40.71064891256276,7.670548844913364,127.85369469588069,75.71505803074392,DC Fast,Yes,Monthly,12.756353700161945,82.98396149002991,19.78
64.69905943393447,6.600984414024158,8.31759442424806,111.51176671448701,98.52073259110938,Level 2,No,Monthly,12.212353479179022,82.75414514966424,0.9
339.3546197175955,34.88205339694793,7.191445669874674,142.9375598166046,80.99131203060904,DC Fast,Yes,Weekly,15.273935140878471,80.24833513801377,17.54
271.2964881763901,11.099809879131485,9.31811039076132,73.16054064836736,46.02066181566153,Level 1,Yes,Weekly,11.698203458957346,77.84566710079852,26.92
328.8246295474662,80.82352100092221,7.150219341445477,106.05607912858244,90.37672613991066,Level 1,No,Quarterly,18.004100633251035,83.09444043878635,6.9
313.1895726496771,94.76880259644707,6.797382014613133,80.43112150572519,40.984767311835,Level 1,No,Monthly,14.84368151342658,76.86100561939242,36.61
209.2649925838798,7.231647525793861,8.026861092250051,101.97653065011066,52.493408424346754,Level 1,Yes,Quarterly,15.738627739626502,77.89759602028656,28.38
322.6559822580909,95.51152072917014,8.804076038271216,78.44785778100585,47.712976739568326,Level 2,No,Weekly,11.473832675973485,76.83947706160622,33.67
30.972375718171826,52.25765993367452,8.032008887267395,44.52219203512973,44.762387266552494,DC Fast,Yes,Weekly,13.245763356293674,81.74210160387648,22.31
68.59400184670082,29.95656779538739,7.46863946182958,86.02666408043952,77.51907692939058,Level 2,Yes,Weekly,14.100896832611529,81.86236028115817,12.6
15.829551118688324,7.686207527616351,8.453599143616543,88.7159461868675,52.676890726949196,Level 1,No,Weekly,18.08212830516503,81.52509992786753,22.73
113.86561576714251,50.06242680704178,7.7145081739427,125.37850027382093,31.671712202521608,Level 1,Yes,Weekly,17.701595230861525,79.15601466864668,52.47
136.0370513913187,79.45155444907486,9.765036915443215,115.61769175316556,25.81581676584783,Level 1,No,Quarterly,12.229774747876814,76.00171007201433,53.21
94.97216112086357,70.70864772666981,9.729257988612503,106.29291111238773,3.7747316967433386,Level 1,Yes,Quarterly,16.161790816070077,84.11169584515021,65.52
290.0581282031753,5.022601146397376,8.258301369902334,34.74032242183443,58.3195161883046,DC Fast,Yes,Weekly,12.434563577719976,80.07730964012238,14.59
124.86366434275625,7.290183536790352,7.647593979063904,113.68011778628295,22.99614154010342,Level 1,Yes,Monthly,19.882471556902452,79.06972194911091,49.62
98.32707839058327,40.28732826326371,9.079963448848236,85.03967032608692,14.813392201638308,DC Fast,No,Monthly,19.521238781308707,80.88824893248294,47.45
189.94362910538698,29.52904940479433,6.628495302190733,136.2329396938007,65.38299638276777,Level 1,No,Monthly,15.632647205206204,76.92790435819106,26.61
49.32347874116692,23.238432305604782,8.161691521152779,139.58322143697058,68.12092578215488,DC Fast,Yes,Monthly,16.98902571894143,76.32548779104874,25.94
280.7689432639139,28.10044989087136,7.677131879946168,27.17035677823211,75.21548922576659,DC Fast,No,Monthly,18.01430382208645,79.05525221457944,7.53
26.092725287919787,80.34827432968846,9.721875597858942,126.68340284608225,50.357689633859145,Level 1,No,Weekly,17.20998420044904,77.2722069409991,38.05
345.41042781018103,92.92280536318539,6.542010595454389,24.900660754947182,89.40546052038866,Level 2,Yes,Quarterly,16.99828691082421,77.44290294537164,4.22
270.2856692538301,40.510269452756646,8.434852065014223,67.73205134035294,93.63427533982278,Level 2,No,Weekly,19.58554007949528,83.92511487778529,3.21
69.55048853696034,90.61110021324971,9.092322533733192,90.49899683074028,80.73709397924894,Level 2,No,Monthly,15.964561063072832,80.30759177185826,12.08
1.9327409932608397,32.1495701247882,8.197562956334144,39.253103821526565,63.55934820081872,Level 2,No,Monthly,16.363026718190557,79.83469064323351,10.34
285.41149995919193,47.64369863437916,6.798910605569525,117.02079563397999,30.372095359118866,Level 2,Yes,Quarterly,18.492687504381813,81.89479593728598,53.17
247.40007034666598,22.602899781599973,9.903614865097659,21.086111542378013,98.29449216202212,Level 1,Yes,Weekly,16.69890867858407,84.51548113676739,0.44
255.15250881434557,64.0476042175844,8.313036509816342,41.917876296424794,27.413616719193833,Level 1,No,Quarterly,17.329326220175226,76.12198564470565,26.8
269.944621340081,97.89811151748088,8.64965185511654,95.50358788095184,20.265692199043105,Level 1,Yes,Monthly,12.341686861966425,83.33534567109257,57.18
25.915628106931628,60.34930960433786,7.328134239476276,112.87038306484801,44.215411378658274,Level 1,No,Monthly,13.71266924115071,80.84019179867846,36.94
125.46300499049542,35.78140841135489,8.192243297873814,139.1636033502091,5.684057071238846,Level 1,Yes,Quarterly,11.473013457118931,76.46165353811837,75.15
40.554170833795396,64.78174459905284,8.002023221854127,111.7145647515011,97.84944646717908,Level 1,No,Monthly,15.057654423348055,77.97149318688992,1.43
302.08619905645776,12.292067846538757,6.762135447006943,107.33130513313257,58.84335564164248,DC Fast,Yes,Weekly,14.557274006802462,79.8236141646474,29.28
218.15434438964527,88.86590802653987,6.8715612374161354,71.26434902558637,55.69520916641753,DC Fast,No,Monthly,19.971628142794568,81.91177144577424,25.98
115.81430869842721,50.30839507798363,9.431153818665711,20.166975318484184,65.57962798997198,Level 1,Yes,Monthly,16.112086528155423,77.42607016953453,8.73
22.245422600108274,44.93497420396421,7.339369832723066,35.62070363563085,49.70236477772067,Level 1,No,Weekly,17.864448231944234,80.3487881546759,14.03
108.84381260048177,58.58647884535192,7.182353950245207,89.49209081828509,3.2063517094541583,DC Fast,Yes,Monthly,13.340146707576542,81.84671627415862,61.61
113.81416270936147,62.47838627894025,8.267190079375487,107.76688515977456,61.23112888403968,DC Fast,Yes,Quarterly,18.315453313427966,79.48740750847506,27.94
255.3621624183224,7.177580622651303,9.190614959768794,74.26827690654012,71.61738769564306,Level 1,Yes,Quarterly,16.150849664876834,83.63025961120175,13.48
223.1451149743246,68.26172212234025,6.716812815026458,114.98827149869072,41.67490606240531,DC Fast,No,Monthly,16.969923315984385,83.69459102840405,44.82
310.5244599017143,24.193168031552958,8.518827718733895,87.84209839318324,75.72955720711929,Level 2,No,Weekly,12.944307779494544,79.70691217640446,14.23
165.27522380668225,71.39526325065899,6.9172365499420065,29.642905427260587,22.70012993384206,Level 2,No,Weekly,15.486383916955772,84.729257104089,26.28
41.857986078405595,82.25347943841967,6.627613677889665,44.96211262583335,22.127659106618403,Level 2,Yes,Quarterly,16.340369734136086,75.75585092405447,31.97
249.63567552804824,80.39585075525203,6.684603832567761,129.1997690217126,16.141698768757394,DC Fast,No,Monthly,15.89094675816581,75.03362378322936,72.1
266.2747670159141,55.25009674078891,9.419574378729545,114.23865706117714,37.19947597891618,Level 1,Yes,Weekly,19.151937114245666,78.80668263803919,47.51
196.4470191493237,52.016989231075115,6.912903692698215,136.31905831162436,84.70120353890836,Level 1,Yes,Weekly,18.982726644925535,81.01097061372509,12.88
269.8385129840963,14.287596133941172,6.658029775443022,35.28244238572175,82.79120621490644,Level 1,Yes,Quarterly,19.709840578768706,81.29200157449661,5.18
172.82845872753677,77.53461504031355,8.032649605000193,148.7289294999596,38.28242079635038,DC Fast,No,Quarterly,16.674280060069893,79.76445736293829,56.9
182.95649028369792,27.140938044671437,9.453977151797087,47.222872813491364,58.911873598023654,DC Fast,Yes,Weekly,19.719141301256847,76.24883313240646,17.11
149.63935642549237,49.669542281794655,7.418429317712556,21.53138391726346,72.08163164749156,Level 2,No,Quarterly,18.324780000319087,76.70497521787894,6.9
8.896694360433315,28.42740929275167,7.975994161340707,149.66498207696205,24.1206774628023,DC Fast,No,Weekly,12.708321403399593,83.5214798385201,63.76
37.76199944765656,13.382836299969314,6.639728863973129,56.53960510786471,16.814108589474706,Level 2,Yes,Monthly,14.27435669551297,83.67911131739261,31.51
11.000214990356987,62.95576968917366,8.071774799472065,106.84252882663279,97.2095993212311,Level 2,No,Quarterly,12.383924421890098,81.7389853786072,1.8
222.74364394232313,5.4332034822903825,8.521645782229967,42.968700842919674,61.75573132096185,Level 1,Yes,Quarterly,10.041971608305651,81.64217972278882,12.04
110.02459337671434,74.86452341262,8.498174688132506,95.42970918588843,98.14157218336639,DC Fast,Yes,Monthly,11.880487531469086,80.97682128027807,1.28
177.99974190764598,31.758679526111667,7.663493422610278,137.52454823909272,33.77559871322291,Level 1,No,Weekly,10.040605862868757,77.02925885701988,52.0
317.64826587413256,0.013469300448532007,7.604366132320974,61.623551765697016,70.30316999741315,Level 1,Yes,Weekly,17.1983846135049,79.28250700259903,13.02
87.25228020210623,51.11291392372298,6.873182666278092,107.1330168857667,22.260363654123772,DC Fast,Yes,Quarterly,14.255342977211996,81.9589465146338,54.09
143.63402306247042,4.6851908527603126,7.78379412226194,44.42746654379415,26.120017127391293,DC Fast,Yes,Weekly,13.125747270778582,80.37252272003339,26.79
264.442898490067,27.616955782089946,6.848231341055376,101.22340183343428,51.1902121269624,Level 2,No,Weekly,17.61720891095188,75.18580334055099,31.48
80.07935792206786,70.69764874557161,9.18308580649218,63.73854573627632,31.961812550807124,Level 2,No,Monthly,18.32486774619645,84.53556806720098,32.2
26.942968440077546,6.268962162186586,9.881960042118651,47.45707361643372,16.762156384058446,Level 2,No,Monthly,19.7529953864988,83.44816052572143,24.37
101.4130085198188,83.93384923560023,9.895260598333474,60.71366659147257,26.2880701989326,Level 2,Yes,Monthly,16.420135846752412,77.60545014109738,37.75
56.427450538901546,0.3819922658583108,9.527748847813879,43.24933890601392,3.574839446586464,Level 1,Yes,Quarterly,14.615289585400518,81.16458935166295,26.13
325.39417831990056,24.682386920190226,8.602772522688667,137.24909401892478,70.44236214774867,Level 1,No,Monthly,13.05264301607436,84.23239383728188,23.58
282.84213284754594,74.09040561520715,8.95302994035358,71.63429522122675,49.21166570858616,DC Fast,No,Monthly,12.223182092142263,75.96011012113651,29.57
221.6913147786482,31.627014972930677,7.498220309381449,51.886309646667755,9.424306640452562,Level 2,No,Weekly,12.129259504826013,80.03029480796701,36.59
305.0112065657012,10.189238806601352,8.707696470604173,78.29301933207128,17.16939931284912,Level 2,No,Monthly,14.091893747197988,79.56243025846294,42.23
281.28522691469004,36.02339188004279,8.094773423039571,61.66970168484442,10.253453811264402,Level 2,No,Quarterly,19.917863552879297,79.10205005283532,40.45
65.29952061011254,27.039328638452552,8.187060689219264,116.77450299573238,61.259280827587645,Level 1,Yes,Monthly,10.008536974374033,83.35588608892925,26.08
312.3956494714922,84.27119021605549,9.152217961313053,146.25858854511426,9.42103636124938,DC Fast,No,Quarterly,11.972058972310007,78.80646146697457,86.18
188.76978467047775,31.334791758514314,7.486714244590381,76.94437537069409,75.42823330352161,Level 1,Yes,Weekly,11.883929824035738,75.63663333241007,12.93
282.6040543074219,78.89324717760073,7.61313864093082,131.93434199639125,2.0510919320391174,DC Fast,Yes,Weekly,17.171194855322923,75.65837742164302,89.95
313.6319549732226,89.18721448107347,9.736246268950229,93.56219956275054,24.93757879958921,DC Fast,Yes,Monthly,13.524847275980619,75.42744606524609,55.97
111.30121624015236,43.381741957652956,6.696785031978403,40.44063646225035,89.06666758919071,Level 1,Yes,Weekly,14.572608045918205,79.09145421874037,3.83
38.51817358468686,90.9943143854392,8.199720044446691,109.78095647057441,71.8531318122246,Level 1,No,Monthly,11.48624130469905,82.1840627769836,19.51
79.7773068896796,37.73180539631929,9.694802801427516,86.74648462635662,7.296833292568772,DC Fast,Yes,Weekly,14.049970388769477,77.03722461930515,55.38
149.48772601918972,96.40784164901082,8.63627052736355,104.57884802277344,82.11261044851797,Level 1,No,Quarterly,11.031998119058361,81.4646852043155,12.36
286.3051680728726,8.928952452557294,8.412424759742462,135.65936363431643,49.30351215402048,Level 1,Yes,Weekly,15.330432878885832,81.87088472103704,40.51
301.2557041397202,68.70192665032427,7.374104627302743,77.25649418528599,84.67830271688292,DC Fast,No,Monthly,10.97938365382856,77.55202124015598,9.28
2.433245685916746,49.38140404569287,7.701464211725569,137.15309101825625,60.07397744503934,DC Fast,No,Monthly,17.90508381173156,81.00557656060629,31.86
178.76155590214802,38.76488054556471,9.482169455316425,117.58697185661514,68.18330320328587,Level 2,Yes,Monthly,15.666017175404896,81.84868340026847,23.53
146.09385110207265,63.27118787486009,8.457263461189603,83.51864036413802,99.35015603957082,Level 1,No,Quarterly,17.23967873773517,79.66613622802126,0.35
77.73773366475558,70.38570916343312,8.30159767814873,98.41887763553528,23.233554592401816,DC Fast,Yes,Weekly,14.185163866526839,78.36716597280095,53.64
41.95287856678898,0.43632696503090873,6.848528997390101,62.32554722747149,62.394557476138836,Level 1,No,Monthly,13.814912932422274,81.19151551574328,12.76
118.16530999126978,16.69530887471987,6.5560985475929305,147.86764896604063,46.032139005739836,Level 1,Yes,Quarterly,10.982088890488637,84.77847087328057,43.72
330.0183963693817,71.30460506343186,9.872898160404672,106.75565119655148,3.9451952922691436,DC Fast,Yes,Quarterly,15.238556070428226,79.26841409368978,74.7
113.12102620726434,66.63854135782064,7.819451585503946,25.700090824561887,1.4470641502865034,Level 2,No,Quarterly,15.14502164857092,78.91735096285122,27.84
181.57671761017812,96.60475051286772,8.611245717348265,62.46084774724114,11.922857781785867,DC Fast,No,Weekly,14.681020444496053,79.64266902426114,49.02
246.05663561331224,76.1037790250783,6.7790027561554975,101.03087638867747,64.90917405385481,DC Fast,Yes,Weekly,17.405183646824494,75.76218393445048,26.59
127.2703608327529,95.0772707731338,8.890900000030662,27.323326113901174,56.71630879133922,Level 1,Yes,Weekly,18.325044000323544,80.5316327967139,15.73
340.12372895233625,70.25405015348069,9.763983480470863,23.10494487148856,55.34295611637275,Level 2,No,Quarterly,17.50789674948508,78.28697387217264,14.6
336.85655322973895,29.805220863944314,8.514828385490969,78.50315113861433,3.1856762528260085,DC Fast,Yes,Weekly,11.438657428068439,76.21422122331262,58.62
88.12380353887745,10.536492225085647,6.941403628313937,63.2497233600471,46.930299636000704,Level 1,Yes,Monthly,16.220595092821082,79.66256741117374,21.15
174.0369770623349,78.18238633449356,8.53602534615717,76.97881904431156,92.46228178425285,DC Fast,Yes,Quarterly,10.803231056895333,75.03383986573978,4.59
105.30740843586938,64.4149221475916,9.182215245866283,54.150130284400674,39.75918693106466,Level 1,No,Weekly,16.946222874404764,79.01785245162759,24.95
99.69417303211367,4.818601239329623,7.922457878009065,41.413307102587524,62.492246978845635,DC Fast,Yes,Quarterly,13.818390965611266,76.05735267926451,11.94
12.910431574086479,36.005046590097834,9.579432117795138,109.5886364074439,77.98186756231435,Level 2,Yes,Quarterly,11.324989562662866,75.2429270339978,14.3
213.34751689296388,95.67998154842861,8.770390336750776,86.89424511481407,78.39252791418876,DC Fast,No,Weekly,18.620508569761277,83.24475046244503,14.69
175.9376581301015,50.04011457102012,9.647371214012209,46.020047462417686,51.92800823952714,Level 1,Yes,Quarterly,16.140083390389375,84.16248803282635,18.32
18.017562937496272,43.272913601970465,8.68226858936568,61.54662541379978,85.79519454023364,DC Fast,Yes,Weekly,13.547249679475275,77.07674648359107,6.68
97.526262482814,45.7699605159294,6.959507902016885,96.93502799623236,39.137809336374694,Level 2,Yes,Weekly,10.307271796504995,80.39298263834262,39.05
317.8930600883288,20.88827240051637,7.583920988868162,29.38981527542212,88.86932147847983,Level 2,Yes,Weekly,15.373102590036105,77.77958157130985,3.71
83.84666173344034,36.87071708647952,7.206282318883599,39.16889120460334,24.02271663955453,Level 2,No,Quarterly,19.232258784862324,79.93577438672182,22.7
50.713205231928086,36.98132559871766,9.680892742009018,29.521928533960715,28.021640699057105,Level 2,Yes,Quarterly,15.963798327023657,79.3663132089416,19.8
171.30846609714706,5.2355020187472405,9.16140023550619,125.60125325283545,5.31206241990011,Level 1,Yes,Weekly,19.71650604619493,77.69051055080486,68.12
344.97765893871025,76.75676285179182,8.867394291185022,117.8132003175612,79.55818365422829,DC Fast,Yes,Quarterly,11.364511182704586,82.00393579635298,17.21
84.71934502902515,41.6504431903879,7.553382118710676,117.93068114430342,41.70552362327056,Level 2,Yes,Weekly,15.683051045948368,76.26490959320255,42.77
235.2474415920575,82.21798868164232,7.1441567021757475,113.12229465188365,22.911661391139905,DC Fast,Yes,Monthly,17.981250480064297,75.53072782171367,62.59
266.56686536505117,85.03480011198954,9.147578807961192,107.020105077083,23.179027761657967,Level 1,No,Quarterly,15.255407311257162,82.67675433037279,54.83
83.17314039733988,21.199405469865805,8.159552810576779,82.00894899916275,90.13999412292331,DC Fast,No,Quarterly,10.910663559874726,81.6593003122068,4.95
254.87572201415085,65.73534821701286,7.290263432527202,103.49616125592495,83.3916600461037,DC Fast,Yes,Monthly,15.828860015472177,79.98526124146397,12.41
128.72409645173863,47.22818041629817,8.658176923578463,24.987002122436706,55.35308853571833,Level 2,Yes,Monthly,16.117379058424717,79.67789770472541,13.19
221.3070407077528,88.0156737921485,6.641168482484582,100.790374945382,61.61108004157211,Level 2,No,Monthly,17.287092484753526,79.97411379491426,27.16
221.73539876631315,21.57406791764541,7.641595889448888,121.12410171979404,47.4325570550291,Level 1,No,Weekly,17.61211515165474,79.37024076098673,36.92
187.52113942616546,67.78132003100443,8.139949481068971,85.04658684997072,39.16665428788089,DC Fast,No,Weekly,17.707726882106073,78.92892295831179,38.08
31.601419519042906,60.775212225272256,7.01785416938292,66.4767326955408,91.54768812183315,Level 1,Yes,Monthly,16.63444393638966,79.9969060288612,3.98
292.35587345623327,29.53014775718328,9.946290671567938,56.06547552412729,12.561270352030206,Level 1,Yes,Weekly,12.158111864186582,80.2851517115976,39.11
112.27302274010754,13.660090365117261,7.23184077606365,103.56426652107072,41.8446789716228,Level 1,Yes,Quarterly,14.042357558394794,81.9190231408362,34.42
65.28147863994899,65.16397604772766,6.9562359551514295,110.06415582188814,34.45619079878753,Level 2,Yes,Monthly,17.76129972614399,82.11207160734023,46.83
14.27129954416737,73.85974581323308,7.212372058604137,133.22578798213056,49.81507202511484,Level 2,Yes,Quarterly,19.534269834008132,78.77629080140144,40.96
206.81253011588464,31.562734376335,9.191713966059035,64.50343071992879,45.76318745451751,DC Fast,Yes,Weekly,10.78946964836622,79.13540522743489,27.72
237.14752664479886,64.48326040223138,7.98926980745145,120.07039996012612,51.88895316510814,DC Fast,No,Monthly,15.355366777971948,78.73697169736224,38.05
5.805740124749653,39.51309076115032,8.478955789133883,92.97625714461392,13.99189772269941,DC Fast,No,Weekly,13.125222713243065,80.36535773625711,50.14
179.23257040474834,71.32068832826177,6.573532049452263,134.7687437881503,51.31415015132771,Level 2,Yes,Quarterly,12.253938943168297,79.53353537914195,41.76
79.27352131927829,19.92152748940531,6.620509580006601,88.6155740784307,24.241881388721087,Level 2,Yes,Weekly,15.058106835197151,83.89596463136193,42.53
225.81047664330745,89.02150026361744,8.060389424394558,87.29187769173573,18.433134898819127,Level 1,Yes,Quarterly,16.060893405565366,81.96361266916473,52.63
61.028250151747,28.74095964655797,9.358293351205683,95.12402058731818,6.483421878619122,Level 2,No,Weekly,10.097722314194812,83.98656383754445,53.38
241.82820833586308,36.77859877561529,9.598336075476478,117.41099616851648,76.26525587561409,Level 1,No,Quarterly,17.80206572201191,82.09136991559426,16.38
135.3573712051881,5.8091952080349785,6.80347298658474,145.40976224769992,42.744192085655996,Level 1,No,Weekly,18.198821312594475,84.70992148523814,44.49
327.85549605785707,11.15122123212764,8.38427085735358,29.563236048049536,62.66436833117584,Level 2,No,Monthly,19.65510824567933,81.35736778255269,10.55
48.13233045109764,51.58619027123281,9.696303901977448,26.946498310832233,72.75933433047433,Level 1,Yes,Monthly,11.806437332246949,84.63550138163055,7.42
119.37322286759048,26.75926767279715,7.8579046403926025,141.881543862954,67.93166653135535,Level 1,No,Weekly,15.94552562360948,76.58169890409427,25.2
39.715732434206174,83.54802257421944,9.40348040999929,88.8838313173668,47.05007190896823,DC Fast,No,Quarterly,14.266253734763945,75.52477680829404,32.44
323.642766397497,1.4693388654953843,6.967934790398027,99.93739189370169,38.789852895172984,Level 1,Yes,Weekly,13.348278515553506,80.7912518520386,38.3
307.06877368334335,37.90940486719362,9.773880713837295,82.71506820731474,37.595990964066374,Level 2,Yes,Monthly,15.656334514375047,84.83493205799775,37.46
90.27956970030446,33.73455467690927,9.12998161135956,32.17546883897168,64.00487969300563,Level 2,Yes,Quarterly,17.823830932235502,79.17605247302397,10.52
230.99441611196266,1.9327630917601035,9.794670374754155,119.85161919442665,49.47943549418734,Level 1,No,Weekly,10.2305278344521,77.12043362192959,33.89
286.02777007042556,12.436839900051023,8.868160317433773,117.1392038615163,84.91322479885106,DC Fast,Yes,Weekly,19.694001125661867,80.21541449193514,11.39
